gene,inMod
evm.TU.chromosome_1.1728,0
evm.TU.chromosome_1.1729,0
evm.TU.chromosome_1.173,1
evm.TU.chromosome_1.1730_evm.TU.chromosome_1.1731,1
evm.TU.chromosome_1.1732,1
evm.TU.chromosome_1.1733,0
evm.TU.chromosome_1.1734,1
evm.TU.chromosome_1.1735,0
evm.TU.chromosome_1.1736,0
evm.TU.chromosome_1.1737,1
evm.TU.chromosome_1.174,0
evm.TU.chromosome_1.1741,1
evm.TU.chromosome_1.1742,1
evm.TU.chromosome_1.1746,1
evm.TU.chromosome_1.1747,1
evm.TU.chromosome_1.1748,1
evm.TU.chromosome_1.1749,1
evm.TU.chromosome_1.175,1
evm.TU.chromosome_1.1750,1
evm.TU.chromosome_1.1751,1
evm.TU.chromosome_1.1752,1
evm.TU.chromosome_1.1754,1
evm.TU.chromosome_1.1755,1
evm.TU.chromosome_1.1756,1
evm.TU.chromosome_1.1757,1
evm.TU.chromosome_1.1758,0
evm.TU.chromosome_1.1759,1
evm.TU.chromosome_1.176,1
evm.TU.chromosome_1.1760,1
evm.TU.chromosome_1.1761,0
evm.TU.chromosome_1.1762,1
evm.TU.chromosome_1.1763,0
evm.TU.chromosome_1.1764,0
evm.TU.chromosome_1.1766,1
evm.TU.chromosome_1.1767,0
evm.TU.chromosome_1.1768,0
evm.TU.chromosome_1.1769,1
evm.TU.chromosome_1.1770,0
evm.TU.chromosome_1.1772,1
evm.TU.chromosome_1.1773,1
evm.TU.chromosome_1.1774,1
evm.TU.chromosome_1.1775,1
evm.TU.chromosome_1.1776,1
evm.TU.chromosome_1.1777,0
evm.TU.chromosome_1.1778,1
evm.TU.chromosome_1.1779,1
evm.TU.chromosome_1.177_evm.TU.chromosome_1.179,1
evm.TU.chromosome_1.1780,0
evm.TU.chromosome_1.1781,0
evm.TU.chromosome_1.1782,1
evm.TU.chromosome_1.1784,1
evm.TU.chromosome_1.1785,1
evm.TU.chromosome_1.1786,1
evm.TU.chromosome_1.1787_evm.TU.chromosome_1.1788,1
evm.TU.chromosome_1.1789,1
evm.TU.chromosome_1.1790,1
evm.TU.chromosome_1.1791,1
evm.TU.chromosome_1.1792,0
evm.TU.chromosome_1.1794,1
evm.TU.chromosome_1.1795,0
evm.TU.chromosome_1.1796,0
evm.TU.chromosome_1.1797,0
evm.TU.chromosome_1.1798,1
evm.TU.chromosome_1.1799,1
evm.TU.chromosome_1.18,1
evm.TU.chromosome_1.180,0
evm.TU.chromosome_1.1800,0
evm.TU.chromosome_1.1801,0
evm.TU.chromosome_1.1802,1
evm.TU.chromosome_1.1803,0
evm.TU.chromosome_1.1804,1
evm.TU.chromosome_1.1805,0
evm.TU.chromosome_1.1806,1
evm.TU.chromosome_1.1807,0
evm.TU.chromosome_1.1808,1
evm.TU.chromosome_1.1809,1
evm.TU.chromosome_1.1810,1
evm.TU.chromosome_1.1811,0
evm.TU.chromosome_1.1812,0
evm.TU.chromosome_1.1813,1
evm.TU.chromosome_1.1814,1
evm.TU.chromosome_1.1815,0
evm.TU.chromosome_1.1816,1
evm.TU.chromosome_1.1817,1
evm.TU.chromosome_1.182,1
evm.TU.chromosome_1.1820_evm.TU.chromosome_1.1818,1
evm.TU.chromosome_1.1821,1
evm.TU.chromosome_1.1822,1
evm.TU.chromosome_1.1823,1
evm.TU.chromosome_1.1824,1
evm.TU.chromosome_1.1827,0
evm.TU.chromosome_1.1828,1
evm.TU.chromosome_1.1829,1
evm.TU.chromosome_1.183,1
evm.TU.chromosome_1.1830,1
evm.TU.chromosome_1.1831,1
evm.TU.chromosome_1.1832,1
evm.TU.chromosome_1.1833,1
evm.TU.chromosome_1.1835,1
evm.TU.chromosome_1.1836,1
evm.TU.chromosome_1.1837,1
evm.TU.chromosome_1.1838,1
evm.TU.chromosome_1.184,1
evm.TU.chromosome_1.1840,1
evm.TU.chromosome_1.1841,1
evm.TU.chromosome_1.1842,1
evm.TU.chromosome_1.1843,1
evm.TU.chromosome_1.1844,1
